Rank,Restaurant,Score,Total Reviews,Yelp Rating,Yelp Reviews,Google Rating,Google Reviews,Price,Cuisine,City,Google Maps URL,Snapshot UTC,Google Only
69,Mamma Angela's Trattoria,8.3,1661,4.1,419,4.2,1242,,"Trattorie, Roman, Seafood","Rome, Italy",https://www.google.com/maps/place/?q=place_id:ChIJ8wyLZqBhLxMRFxzEWeF7EAE,2026-03-28T21:31:34.965Z,false
70,Ambrosia Rooftop Restaurant & Bar,9.2,1587,,,4.6,1587,,"Italian Restaurant, Observation Deck, Wine Bar","Rome, Italy",https://www.google.com/maps/place/?q=place_id:ChIJT9C9Pa9hLxMRln7JkuJeGOc,2026-03-28T21:31:34.965Z,false
71,44 Osteria Quarantaquattro,8.9,1566,4.5,506,4.4,1060,,Italian,"Rome, Italy",https://www.google.com/maps/place/?q=place_id:ChIJeR1i-wdhLxMR0qtsHul3Xvg,2026-03-28T21:31:34.965Z,false
72,Hostaria La Botticella,9.0,1410,4.5,422,4.5,988,,"Roman, Trattorie","Rome, Italy",https://www.google.com/maps/place/?q=place_id:ChIJg_trXkdgLxMR-Mu1esO5r9g,2026-03-28T21:31:34.965Z,false
73,Osteria Luci in cucina,9.0,1305,3.9,7,4.5,1298,,Roman,"Rome, Italy",https://www.google.com/maps/place/?q=place_id:ChIJmWZbA3RhLxMRTjhsja6B0J4,2026-03-28T21:31:34.965Z,false
74,Le Jardin,9.0,1099,4.0,10,4.5,1089,,"Italian, Gluten-Free, Mediterranean","Rome, Italy",https://www.google.com/maps/place/?q=place_id:ChIJ2Ti8x_hgLxMRvObpYnLE6gQ,2026-03-28T21:31:34.965Z,false
75,Il Gabriello,9.2,1076,4.3,54,4.6,1022,,"Mediterranean, Roman","Rome, Italy",https://www.google.com/maps/place/?q=place_id:ChIJz8stuVVgLxMRgSlm5HDk34s,2026-03-28T21:31:34.965Z,false
76,Pane & Vino,9.1,919,4.7,265,4.5,654,,"Sandwiches, Italian","Rome, Italy",https://www.google.com/maps/place/?q=place_id:ChIJ-bSuNABhLxMR4llxlqDhRHo,2026-03-28T21:31:34.965Z,false
77,Oste nostro,9.2,718,,,4.6,718,,,"Rome, Italy",https://www.google.com/maps/place/?q=place_id:ChIJCQ8rZbFhLxMRtlOW2tE_n0I,2026-03-28T21:31:34.965Z,false
78,Reserva Restaurante y Cocteles,9.6,640,,,4.8,640,,"Latin American Restaurant, Brunch Restaurant, Cocktail Bar","Rome, Italy",https://www.google.com/maps/place/?q=place_id:ChIJadCEFYhhLxMREWR54hRjl4g,2026-03-28T21:31:34.965Z,false
79,Luzzi,6.8,319,3.6,250,2.6,69,,"Pizza, Roman","Rome, Italy",https://www.google.com/maps/place/?q=place_id:ChIJ8wItRwBhLxMRGoNu0GBwTP4,2026-03-28T21:31:34.965Z,false
80,Forno Campo de' Fiori,9.0,201,4.5,201,,,,"Pizza, Roman","Rome, Italy",https://www.google.com/maps/place/?q=place_id:ChIJ3QPB7EVgLxMRlUFXkxie2G8,2026-03-28T21:31:34.965Z,false
